language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
smarty,249,0.016856214459788788,15298529,0.0002580875495998135,3.0960647698172674,0.0124,0.0349,0.0012,0.32366075629461344,2.032460838544563e-06
gnuplot,41,0.002775521256431086,1916261,3.232749409330062e-05,3.0376916395097666,0.0741,0.2514,0.0002,1.0,5.0975059407853264e-06
markdown,3,0.00020308692120227456,5612105,9.467671222160388e-05,2.981189652865789,0.9937,0.006,0.9936,0.9998001352388868,0.9878164731352316
haml,41,0.002775521256431086,4781762,8.066875170478831e-05,2.944340379519688,0.0718,0.1642,0.0177,0.9646095455858381,8.607202374528508e-06
nix,103,0.006972650961278094,49909869,0.0008419839444078378,2.6894610004963737,0.0261,0.1339,0.0013,0.9643238133601446,1.5580153377421705e-05
mustache,173,0.011711345789331168,7178013,0.00012109371993644657,2.5836967942307,0.0149,0.0516,0.0013,0.5248291595993303,3.3982688131219936e-07
visual basic,6,0.00040617384240454913,887867,1.4978395530742701e-05,2.5447169730448023,0.4241,0.4837,0.2718,1.0,5.328712138024493e-05
postscript,51,0.0034524776604386675,8108335,0.0001367883351062317,2.4857978329463903,0.0487,0.1056,0.0021,0.4019223893426603,1.3619473755519223e-07
shaderlab,31,0.002098564852423504,4647078,7.839662060445171e-05,2.4397852099107964,0.0787,0.1099,0.0228,0.39946692694646746,3.957088469274431e-06
reason,14,0.0009477389656106146,3458487,5.834498435456181e-05,2.280450718902589,0.1629,0.3296,0.0046,0.953271706025884,3.672964118369543e-06
mathematica,21,0.001421608448415922,94422697,0.0015929193254681977,2.2424492020972586,0.1068,0.2389,0.0029,1.0,1.4810858983272615e-06
svelte,27,0.0018277822908204712,1357081,2.2894077587359183e-05,2.230789913215191,0.0826,0.1617,0.0173,0.7479532986355324,0.0001239115496828991
hack,84,0.005686433793663688,21229533,0.0003581441164126549,2.216585930891611,0.0264,0.116,0.0003,1.0,2.2955086307681254e-07
digital command language,57,0.003858651502843217,5227177,8.818294250738123e-05,2.205652468118974,0.0387,0.1653,0.0006,0.9099212334506452,2.046135964885527e-06
smali,6,0.00040617384240454913,4068730,6.863983822779623e-05,2.0720668586504125,0.3453,0.4435,0.1212,0.9684910183592456,0.005217082360714186
freemarker,78,0.005280259951259139,8400043,0.000141709475100715,2.0401334635482047,0.0262,0.0915,0.0021,0.6756913119670641,8.100781936077161e-07
nim,16,0.001083130246412131,11745210,0.00019814274094164384,2.0216972308041,0.1264,0.3358,0.0009,0.999541582305077,1.9578832441280778e-05
purescript,11,0.0007446520444083401,875810,1.4774992864674289e-05,2.0209437190461563,0.1837,0.3528,0.0015,0.9869539082617826,3.4307906600155073e-06
nunjucks,14,0.0009477389656106146,694291,1.1712751134387112e-05,2.0102021196390645,0.1436,0.2384,0.019,0.8195665127364814,0.0002001823916074556
visual basic .net,46,0.003113999458434877,79192583,0.0013359859430243162,1.8610284317202155,0.0405,0.1551,0.0016,1.0,1.6642221895809562e-06
swig,79,0.005347955591659897,13904501,0.0002345701728249923,1.8402382048400732,0.0233,0.0916,0.0017,0.7438380290166556,9.9775350255824e-07
hlsl,69,0.004670999187652315,19639636,0.00033132241212683146,1.8122594456950472,0.0263,0.0475,0.0064,0.2674266804298986,2.7127876094898752e-05
raku,81,0.005483346872461413,17428175,0.00029401486768739204,1.8034143456339156,0.0223,0.1089,0.0007,0.9344997797970538,4.345606966628446e-06
gdscript,6,0.00040617384240454913,708169,1.194687423297693e-05,1.7726516028563966,0.2954,0.4562,0.0039,0.9498696468079211,0.0002788186582576617
asl,14,0.0009477389656106146,5003551,8.441035192911008e-05,1.7191769468646583,0.1228,0.3032,0.0014,0.9173793383608615,1.0853622975527975e-05
nsis,152,0.010289737340915246,4196610,7.079718524088645e-05,1.7133630022593715,0.0113,0.0517,0.0017,0.5389374866652443,2.564093744518077e-05
autohotkey,7,0.0004738694828053073,822103,1.386895098140844e-05,1.7036321024215049,0.2434,0.4226,0.0006,0.9901369247770614,5.791191227734321e-05
livescript,10,0.0006769564040075819,654592,1.104302546131338e-05,1.6852024766693587,0.1685,0.3057,0.0062,0.9724428536978512,0.00018457781374678762
yacc,189,0.012794476035743298,24384181,0.00041136330972006067,1.6230682196395152,0.0086,0.0161,0.0028,0.11934847242157064,2.2108417533134185e-05
vhdl,13,0.0008800433252098565,355112884,0.005990786046350131,1.5661188121559564,0.1205,0.2721,0.0048,0.8461353515893162,9.231257777334678e-07
vim snippet,26,0.001760086650419713,2857237,4.82018431939386e-05,1.5220187094776032,0.0585,0.1952,0.0015,0.9899871268598844,7.242315192282175e-06
pov-ray sdl,26,0.001760086650419713,67875891,0.0011450723389872344,1.4964084000808842,0.0576,0.1448,0.0011,0.6856122934699463,2.556224554856542e-06
racket,15,0.0010154346060113728,23983116,0.000404597307375636,1.469878205715913,0.098,0.2613,0.0026,0.9878451962736832,2.937251515330002e-05
