repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
10066825,html_javascript_shell,0,24936,3,2932,1954,107,4,2,0,0,2
21303988,python_shell,0,3069,3,3402,1309,218,5,0,0,1,4
17373313,python_shell,0,11773,4,2703,5760,315,22,0,0,3,19
46746797,cpp_python,0,2543,8,1988,1642,39,1,0,0,0,1
11526715,c_cpp_python_shell,0,17095,5,3546,20480,708,27,0,0,0,27
26521386,go_shell,0,11264,3,4022,9759,426,10,1,0,0,9
32611793,javascript_shell,0,109686,5,2323,10400,359,19,2,0,0,17
9626416,css_html_javascript,0,5352,4,3012,2242,173,0,0,0,0,0
20545279,go_shell,0,7961,3,2609,2830,209,3,2,0,0,1
24217298,html_java,0,98541,7,2802,2463,95,5,1,0,0,4
31681575,html_javascript_shell_typescript,0,387668,6,2337,17425,192,23,2,0,0,21
20484506,java_shell,0,3602,3,1852,1853,178,6,2,0,0,4
24809655,objectivec_ruby,0,19354,3,2316,1084,67,35,6,0,0,29
54980593,c_python,0,38422,4,8251,12938,637,12,2,0,1,9
24245737,css_html_javascript_python_shell,0,9531,7,2481,1976,144,0,0,0,0,0
1843992,css_html_javascript_python,0,1182,10,4697,1163,175,1,0,0,0,1
50242144,go_shell,0,40784,4,2008,1476,44,2,1,0,0,1
119955,html_ruby,0,2169,3,6068,1092,70,0,0,0,0,0
81535817,html_javascript_python,0,574,3,2577,1043,67,2,0,0,0,2
1388190,java_javascript,0,19942,3,3804,2768,35,51,1,0,0,50
2121420,html_python_shell,0,5076,5,3645,1486,161,8,0,0,0,8
206427,html_java,0,225236,15,5235,5368,161,8,3,0,0,5
856193,python_shell,0,501071,7,4967,16563,429,169,0,0,0,169
133620,c_shell,0,12244,14,7073,2579,125,50,5,3,1,41
117944122,c_shell,0,2131,4,4778,1593,163,6,2,0,0,4
85226880,javascript_typescript,0,1891,3,1922,2097,75,0,0,0,0,0
36849200,html_javascript,0,14710,4,2457,1393,163,0,0,0,0,0
45526710,html_java,0,58429,6,6240,3686,86,23,6,0,4,13
46171816,css_html_javascript,0,3601,3,2033,1004,57,1,0,0,0,1
18935740,html_javascript_ruby,0,69197,6,2657,3374,384,24,0,1,0,23
138646782,c#_shell,0,37629,14,1591,3604,100,65,7,0,4,54
90118631,java_shell,0,7596,4,1392,2493,13,4,3,0,0,1
8526347,c_cpp_python,0,8713,6,2176,1404,71,6,4,0,0,2
