language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
m4,396,0.03260332619792524,39903367,0.0006860830303584817,7.211941990117155,0.0182,0.0384,0.0064,0.46616990887853055,2.8292463394585997e-06
hcl,115,0.009468137658488392,5039554,8.66481387391497e-05,7.10763992153438,0.0618,0.1888,0.0024,0.9987295758452494,6.362065808812644e-06
starlark,279,0.022970525275810966,22124577,0.0003804014040609547,6.886318901516199,0.0247,0.08,0.0049,0.9953074725276383,6.611728356823842e-07
handlebars,172,0.014161040671826115,12477884,0.00021453990253959303,6.53762930083728,0.038,0.1061,0.004,0.8006886543451699,1.167057037520242e-07
cuda,117,0.009632800922114276,38869352,0.0006683045771107614,6.4722413571893425,0.0553,0.0984,0.0118,0.48863235116958215,2.346124903304572e-05
jsonnet,36,0.002963938745265931,23836435,0.00040983442719866157,6.2295716431525285,0.173,0.3173,0.0072,0.995976708499866,1.6027990232095375e-05
pascal,83,0.00683352544047423,40164432,0.0006905716808104733,6.2008599521027135,0.0747,0.2285,0.0017,0.9609289468851246,2.9279350019723635e-06
glsl,244,0.02008891816235798,27248528,0.0004685006321157796,6.161652739250065,0.0253,0.0771,0.0032,0.7828953221728262,1.1073799061666968e-07
d,43,0.003540260167956529,33249338,0.000571676234049458,6.0846828798480495,0.1415,0.3196,0.002,0.9750064413180368,2.3280733650788177e-09
haxe,19,0.0015643010044459082,21481935,0.00036935206652521154,5.429291062915751,0.2858,0.4127,0.0071,0.9998024409746801,3.7697360282167396e-05
twig,76,0.006257204017783633,21892344,0.00037640847984507985,5.041199670399042,0.0663,0.1106,0.0201,0.6733205035307929,8.956400243614087e-06
ejs,138,0.01136176519018607,4695703,8.073609788124931e-05,4.933652251681383,0.0358,0.0792,0.0049,0.45349875683265023,3.286902736504055e-05
crystal,16,0.0013173061090070806,11480703,0.00019739475881535792,4.5699279844446385,0.2856,0.4333,0.009,0.9854611139122743,2.8737502398221908e-05
sass,73,0.006010209122344805,2007266,3.451215382440154e-05,4.508434633921088,0.0618,0.1549,0.0041,0.9448056376449193,2.0083656152357704e-06
yara,18,0.0014819693726329656,15410501,0.00026496218290106727,4.418366434538057,0.2455,0.3581,0.0306,0.9996483495244666,2.0777664011187975e-05
tsql,125,0.010291453976617817,27049503,0.0004650786733843999,4.284545730256788,0.0343,0.1246,0.0035,0.9907895239075645,1.3816513985156729e-05
elm,25,0.0020582907953235635,5529600,9.507379977910788e-05,3.934983982516558,0.1574,0.2829,0.0145,0.9865324454482911,2.3118989602306372e-05
solidity,35,0.0028816071134529888,12676538,0.00021795548244072854,3.8617319059854567,0.1103,0.1762,0.0339,0.7405678893880577,3.52159916530971e-05
qml,44,0.0036225917997694712,18088441,0.0003110056456073144,3.7871484340727735,0.0861,0.1701,0.016,0.9231324763317883,3.2638386208981775e-05
matlab,107,0.008809484603984851,8141607,0.00013998363603121076,3.779991102403757,0.0353,0.1052,0.0016,0.71477836157774,1.0780129486883803e-06
webassembly,24,0.0019759591635106206,46070706,0.0007921218673911574,3.5216868843827944,0.1467,0.2748,0.0059,0.8550800437676391,4.991116355400035e-05
xslt,231,0.019018606948789724,18516641,0.0003183679504874891,3.2841485788490523,0.0142,0.0668,0.0011,0.7710286841285768,2.5950575521858883e-06
scheme,58,0.004775234645150667,40525696,0.0006967831140431483,3.180775605171796,0.0548,0.1831,0.0006,0.8657094780129255,1.1487006655641825e-06
inno setup,107,0.008809484603984851,6905318,0.00011872736200504008,3.1346979382735305,0.0293,0.0759,0.002,0.4465686706629055,1.700400932832716e-05
smarty,249,0.02050057632142269,15298529,0.0002630369797202104,3.0960647698172674,0.0124,0.0349,0.0012,0.32366075629461344,2.032460838544563e-06
