id,languages,classifier,clfType,fileType
6322699,"['php', 'css', 'html', 'javascript', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
5713702,"['java', 'c++', 'c', 'shell', 'ruby']",Java-C_Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
692146,"['python', 'shell']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
10120864,"['javascript', 'java', 'objective-c', 'c++', 'html', 'shell', 'c']",Shell*_JavaScript*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
22138403,"['javascript', 'css']",JavaScript*,IRI,"['.ts', '.js', '.html']"
24219473,"['python', 'shell', 'css', 'html', 'objective-c', 'javascript']",Python*_Shell*_C-Python,FFI_IRI,"['.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
3465312,"['java', 'python', 'shell', 'html']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
43651,"['c', 'python', 'shell']",Shell*_Python*,IRI,"['.py', '.sh', '.bsh', '.zsh']"
313542,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3611422,"['javascript', 'shell']",JavaScript*,IRI,"['.ts', '.js', '.html']"
2977773,"['javascript', 'html']",JavaScript*,IRI,"['.ts', '.js', '.html']"
1936771,"['java', 'shell', 'html']",Java-C_Shell*,FFI_IRI,"['.java', '.c', '.sh', '.bsh', '.zsh']"
29653587,"['java', 'javascript', 'html', 'shell']",Java-JavaScript_Java*_Shell*_JavaScript*,FFI_IRI,"['.java', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.java']"
5657854,"['javascript', 'shell']",Shell*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
24046531,"['ruby', 'objective-c']",HI*,HI,['*']
9489902,"['javascript', 'html', 'ruby', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
5635061,"['objective-c', 'ruby']",HI*,HI,['*']
11378642,"['javascript', 'html', 'css', 'python']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
17884290,"['javascript', 'shell']",Shell*_JavaScript*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
15860426,"['shell', 'javascript', 'css', 'html']",JS-CSS-HTML*_Shell*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
588600,"['ruby', 'c', 'shell', 'objective-c', 'c++']",C++-Ruby_Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.cpp', '.cc', '.rb', '.sh', '.bsh', '.zsh']"
7964360,"['python', 'shell']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
10298623,"['java', 'php', 'shell']",Java*_Java-C_Shell*,FFI_IRI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
18966884,"['javascript', 'css']",JavaScript*,IRI,"['.ts', '.js', '.html']"
24375248,"['python', 'shell', 'css', 'html', 'javascript']",JS-CSS-HTML*_Shell*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
260841,"['java', 'html', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
13863130,"['objective-c', 'html', 'javascript', 'c', 'css', 'ruby', 'shell', 'php', 'c++']",Shell*_JavaScript*_C-C++,FFI_IRI,"['.c', '.cpp', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
